,Frame Type,Manufacturer,ID,Version,Device Type,TPL-Config,Access Number,Status,Encryption,"IV,0,0,0,,Date/Time","IV,0,0,0,Wh,E","IV,0,0,0,m^3,Vol","IV,0,0,0,,ErrorFlags(binary)(deviceType specific)","IV,1,0,0,,Date","IV,1,0,0,Wh,E","IV,2,0,0,Wh,E","IV,4,0,0,Wh,E","IV,6,0,0,Wh,E","IV,8,0,0,Wh,E","IV,10,0,0,Wh,E","IV,12,0,0,Wh,E","IV,14,0,0,Wh,E","IV,16,0,0,Wh,E","IV,18,0,0,Wh,E","IV,20,0,0,Wh,E","IV,22,0,0,Wh,E","IV,24,0,0,Wh,E","IV,26,0,0,Wh,E","IV,28,0,0,Wh,E","IV,30,0,0,Wh,E","IV,0,0,0,Model/Version","IV,0,0,0,,Parameter set ident"
2,SND_NR,DWZ,23286418,02h,Water,"Response,Uplink,TPL=S,M-Bus",237,00h,5,07.04.2025 09:07 invalid 0 summer time 0,"8,239",0b,31.12.2024,"5,64","0,002","8,014","7,209","6,371","5,64","4,7","3,843","3,166","2,139","0,794","0,1","0,1","0,1","0,1","0,1","0,1",8,4353
8,SND_NR,DWZ,23286013,02h,Water,"Response,Uplink,TPL=S,M-Bus",10,00h,5,07.04.2025 09:07 invalid 0 summer time 0,"15,508",0b,31.12.2024,"10,734",0,"15,173","13,445","12,485","10,734","9,065","7,297","5,587","3,605","1,782","0,099","0,1","0,1","0,1","0,1","0,1",8,4353
10,SND_NR,DWZ,23286189,02h,Water,"Response,Uplink,TPL=S,M-Bus",39,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"17,439",0b,31.12.2024,"11,281","0,001",17,"14,623","13,364","11,281","9,042","6,932","4,941","3,041","1,518","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
12,SND_NR,DWZ,23286166,02h,Water,"Response,Uplink,TPL=S,M-Bus",152,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"5,135",0b,31.12.2024,"3,604",0,"5,016","4,555","4,074","3,604","2,982","2,507","2,042","1,312","0,467","0,1","0,1","0,1","0,1","0,1","0,1",8,4353
14,SND_NR,DWZ,23286797,02h,Water,"Response,Uplink,TPL=S,M-Bus",153,00h,5,07.04.2025 09:07 invalid 0 summer time 0,"12,818",0b,31.12.2024,"3,616","6,93","12,218","9,392","6,847","3,616","0,047","99997,325","99993,969","99995,757","99999,19","0,1","0,1","0,1","0,1","0,1","0,1",8,4353
16,SND_NR,DWZ,23286521,02h,Water,"Response,Uplink,TPL=S,M-Bus",44,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"13,098",0b,31.12.2024,"9,77","0,002","12,828","11,68","10,796","9,77","8,312","6,863","5,367","3,683","1,724","0,1","0,099","0,099","0,099","0,099","0,099",8,4353
24,SND_NR,DWZ,23286421,02h,Water,"Response,Uplink,TPL=S,M-Bus",116,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"18,887",0b,31.12.2024,"12,869",0,"18,427","16,643","14,794","12,869","10,776","8,873","6,787","4,058","1,673","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
34,SND_NR,DWZ,23286040,02h,Water,"Response,Uplink,TPL=S,M-Bus",78,00h,5,07.04.2025 09:07 invalid 0 summer time 0,"7,005",0b,31.12.2024,"4,72",0,"6,856","5,919","5,358","4,72","3,763","2,951","2,115","1,266","0,489","0,1","0,099","0,099","0,099","0,099","0,099",8,4353
38,SND_NR,DWZ,23286031,02h,Water,"Response,Uplink,TPL=S,M-Bus",247,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"14,938",0b,31.12.2024,"8,869","0,089","14,704","12,765","10,993","8,869","6,686","4,803","2,736","1,571","0,72","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
44,SND_NR,DWZ,23286014,02h,Water,"Response,Uplink,TPL=S,M-Bus",24,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"12,081",0b,31.12.2024,"8,175",0,"11,811","10,589","9,373","8,175","6,675","5,352","4,086","2,38","0,836","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
54,SND_NR,DWZ,20127080,02h,Water,"Response,Uplink,TPL=S,M-Bus",157,00h,5,07.04.2025 09:07 invalid 0 summer time 0,"132,191",0b,31.12.2024,"131,829","0,179","131,911","131,836","131,836","131,829","131,812","131,773","131,705","126,384","121,78","119,612","117,715","113,269","112,292","111,806","111,805",8,4353
