,Frame Type,Manufacturer,ID,Version,Device Type,TPL-Config,Access Number,Status,Encryption,"IV,0,0,0,,Date/Time","IV,0,0,0,Wh,E","IV,0,0,0,m^3,Vol","IV,0,0,0,,ErrorFlags(binary)(deviceType specific)","IV,1,0,0,,Date","IV,1,0,0,Wh,E","IV,2,0,0,Wh,E","IV,4,0,0,Wh,E","IV,6,0,0,Wh,E","IV,8,0,0,Wh,E","IV,10,0,0,Wh,E","IV,12,0,0,Wh,E","IV,14,0,0,Wh,E","IV,16,0,0,Wh,E","IV,18,0,0,Wh,E","IV,20,0,0,Wh,E","IV,22,0,0,Wh,E","IV,24,0,0,Wh,E","IV,26,0,0,Wh,E","IV,28,0,0,Wh,E","IV,30,0,0,Wh,E","IV,0,0,0,Model/Version","IV,0,0,0,,Parameter set ident"
4,SND_NR,DWZ,23227910,02h,WWater,"Response,Uplink,TPL=S,M-Bus",8,00h,5,07.04.2025 09:04 invalid 0 summer time 0,"7,116",0b,31.12.2024,"2,206","2,318","6,742","5,361","3,946","2,206","0,66","99999,511","99998,087","99998,677","99999,782","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
18,SND_NR,DWZ,23228421,02h,WWater,"Response,Uplink,TPL=S,M-Bus",124,00h,5,07.04.2025 09:04 invalid 0 summer time 0,"1,152",0b,31.12.2024,"0,649","0,001","1,122","0,992","0,854","0,649","0,438","0,347","0,274","0,204","0,154","0,1","0,1","0,1","0,1","0,1","0,1",8,4353
20,SND_NR,DWZ,23227913,02h,WWater,"Response,Uplink,TPL=S,M-Bus",31,00h,5,07.04.2025 09:04 invalid 0 summer time 0,"5,72",0b,31.12.2024,"2,187","1,697","5,491","4,222","3,495","2,187","0,878","99999,705","99998,683","99998,935","99999,555","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
22,SND_NR,DWZ,23228057,02h,WWater,"Response,Uplink,TPL=S,M-Bus",46,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"4,191",0b,31.12.2024,"2,745",0,"4,081","3,569","3,112","2,745","2,123","1,584","1,112","0,651","0,314","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
26,SND_NR,DWZ,23227914,02h,WWater,"Response,Uplink,TPL=S,M-Bus",218,00h,5,07.04.2025 09:03 invalid 0 summer time 0,"1,556",0b,31.12.2024,"0,948",0,"1,511","1,307","1,125","0,948","0,759","0,602","0,476","0,339","0,187","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
28,SND_NR,DWZ,23228067,02h,WWater,"Response,Uplink,TPL=S,M-Bus",4,00h,5,07.04.2025 09:04 invalid 0 summer time 0,"0,829",0b,31.12.2024,"0,514",0,"0,818","0,722","0,598","0,514","0,428","0,355","0,29","0,221","0,118","0,1","0,1","0,1","0,1","0,1","0,1",8,4353
30,SND_NR,DWZ,23227668,02h,WWater,"Response,Uplink,TPL=S,M-Bus",104,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"5,495",0b,31.12.2024,"3,38",0,"5,368","4,712","4,001","3,38","2,549","1,934","1,484","0,882","0,422","0,1","0,1","0,1","0,1","0,1","0,1",8,4353
32,SND_NR,DWZ,23227912,02h,WWater,"Response,Uplink,TPL=S,M-Bus",154,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"9,541",0b,31.12.2024,"5,675",0,"9,355","7,871","6,781","5,675","4,19","3,07","2,038","1,139","0,474","0,1","0,1","0,1","0,1","0,1","0,1",8,4353
42,SND_NR,DWZ,23227937,02h,WWater,"Response,Uplink,TPL=S,M-Bus",191,00h,5,07.04.2025 09:06 invalid 0 summer time 0,"39,369",0b,31.12.2024,"25,72","0,036","38,585","34,255","30,437","25,72","20,805","16,521","11,607","7,412","2,671","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
50,SND_NR,DWZ,23227625,02h,WWater,"Response,Uplink,TPL=S,M-Bus",58,00h,5,07.04.2025 09:05 invalid 0 summer time 0,"6,477",0b,31.12.2024,"4,421","0,001","6,281","5,553","5,048","4,421","3,531","2,613","1,95","1,337","0,623","0,099","0,099","0,099","0,099","0,099","0,099",8,4353
